,TPA_dBm/MHz,Percentage (%)
11.436126669925523,88,16.356877323420075
11.515869694000907,75,13.940520446096654
11.476912987209209,46,8.550185873605948
11.348315698527358,35,6.5055762081784385
11.140523430789916,32,5.947955390334572
10.866847510973901,32,5.947955390334572
28.789674235002266,27,5.018587360594796
10.162482474751176,12,2.2304832713754648
6.642721587770569,6,1.1152416356877324
6.691216629952981,6,1.1152416356877324
3.266312303360837,5,0.929368029739777
2.9132242427699198,4,0.7434944237918215
6.736194339235803,3,0.5576208178438662
3.3213607938852845,3,0.5576208178438662
6.843498459111821,3,0.5576208178438662
3.313700890034018,3,0.5576208178438662
3.18792141927996,3,0.5576208178438662
6.154554324294571,3,0.5576208178438662
3.2346306775385254,3,0.5576208178438662
6.398682989108678,3,0.5576208178438662
3.159516328657469,3,0.5576208178438662
3.3385309659334546,3,0.5576208178438662
6.637656900963927,2,0.37174721189591076
6.37584283855992,2,0.37174721189591076
2.9953346111282757,2,0.37174721189591076
6.889215842472043,2,0.37174721189591076
5.8073571118855805,2,0.37174721189591076
6.383550026969501,2,0.37174721189591076
3.199341494554339,2,0.37174721189591076
6.798081552792032,2,0.37174721189591076
2.801234168583995,2,0.37174721189591076
6.176325705089909,2,0.37174721189591076
3.1955813231312264,2,0.37174721189591076
5.248490503295481,2,0.37174721189591076
6.469261355077051,2,0.37174721189591076
3.113814678181129,2,0.37174721189591076
3.76946667492575,1,0.18587360594795538
3.2508757683517824,1,0.18587360594795538
4.317264622475903,1,0.18587360594795538
4.6556714347657415,1,0.18587360594795538
12.951793867427709,1,0.18587360594795538
4.0879940569742566,1,0.18587360594795538
12.26398217092277,1,0.18587360594795538
6.817410863434226,1,0.18587360594795538
6.584597175243117,1,0.18587360594795538
6.790177997649231,1,0.18587360594795538
2.4736357049942455,1,0.18587360594795538
6.420712073205096,1,0.18587360594795538
6.723040050968912,1,0.18587360594795538
6.227629356362258,1,0.18587360594795538
9.311342869531483,1,0.18587360594795538
3.241231146634891,1,0.18587360594795538
2.8836580390854736,1,0.18587360594795538
3.1037809565104943,1,0.18587360594795538
6.1203940994296975,1,0.18587360594795538
13.180224124238345,1,0.18587360594795538
13.053143347891195,1,0.18587360594795538
4.351047782630398,1,0.18587360594795538
3.3456083149764906,1,0.18587360594795538
3.4271757879491394,1,0.18587360594795538
12.494038161836729,1,0.18587360594795538
2.169372324799759,1,0.18587360594795538
4.16467938727891,1,0.18587360594795538
2.757878568331415,1,0.18587360594795538
11.308400024777251,1,0.18587360594795538
3.263285836972799,1,0.18587360594795538
5.020346442056179,1,0.18587360594795538
3.0421214316685847,1,0.18587360594795538
6.520459105403774,1,0.18587360594795538
6.922224727153963,1,0.18587360594795538
12.911546835203124,1,0.18587360594795538
3.1038070250076912,1,0.18587360594795538
3.224458935313804,1,0.18587360594795538
6.686534187436928,1,0.18587360594795538
6.616974296151608,1,0.18587360594795538
6.556262539550301,1,0.18587360594795538
3.4253774620768205,1,0.18587360594795538
6.143375270706062,1,0.18587360594795538
6.275012732437482,1,0.18587360594795538
2.931477174535911,1,0.18587360594795538
6.319032657314938,1,0.18587360594795538
6.6009969147908745,1,0.18587360594795538
2.9728999938056875,1,0.18587360594795538
5.990669222256551,1,0.18587360594795538
11.300840004617788,1,0.18587360594795538
11.014419939295738,1,0.18587360594795538
6.627401780068036,1,0.18587360594795538
6.632550529023499,1,0.18587360594795538
3.2722780707642416,1,0.18587360594795538
3.408705431717113,1,0.18587360594795538
6.3017976410272505,1,0.18587360594795538
6.731840491975795,1,0.18587360594795538
6.391162646262453,1,0.18587360594795538
6.532624606721674,1,0.18587360594795538
4.517228559039947,1,0.18587360594795538
3.2867090608273046,1,0.18587360594795538
3.1917750134847505,1,0.18587360594795538
3.0986794645597455,1,0.18587360594795538
3.23127701953254,1,0.18587360594795538
3.1088512067844674,1,0.18587360594795538
6.778130615453712,1,0.18587360594795538
3.022927041382655,1,0.18587360594795538
2.6886571304685174,1,0.18587360594795538
5.60246833716799,1,0.18587360594795538
6.550436950378242,1,0.18587360594795538
5.880432143953269,1,0.18587360594795538
